"Time","CurrEstab","TCP_tw","Sockets_used","UDP_inuse","TCP_alloc","Tcp_InSegs","Tcp_OutSegs","Tcp_RetransSegs"
2025-06-04 20:10:00,205,176,,1,3437,268,289,0
2025-06-04 20:12:00,205,172,,1,3487,270,290,0
2025-06-04 20:14:00,205,169,,1,3533,278,296,0
2025-06-04 20:16:00,205,165,,1,3581,267,285,0
2025-06-04 20:18:00,205,172,,1,3629,266,287,0
2025-06-04 20:20:00,206,171,,1,3671,270,288,0
2025-06-04 20:22:00,200,177,,1,3722,266,286,0
2025-06-04 20:24:00,199,167,,1,3763,271,288,0
2025-06-04 20:26:00,200,167,,1,3811,275,293,0
2025-06-04 20:28:00,199,164,,1,3859,265,283,0
2025-06-04 20:30:00,200,167,748,1,3906,269,287,0
2025-06-04 20:32:00,200,167,,1,3959,276,294,0
2025-06-04 20:34:00,206,176,,1,4018,272,292,0
2025-06-04 20:36:00,207,187,,1,4066,277,297,0
2025-06-04 20:38:00,206,168,,1,4113,293,313,0
2025-06-04 20:40:00,205,171,,1,4161,277,296,0
2025-06-04 20:42:00,205,161,,1,4209,272,291,0
2025-06-04 20:44:00,206,173,,1,4257,277,297,0
2025-06-04 20:46:00,206,174,,1,4304,278,299,0
2025-06-04 20:48:00,206,176,,1,4354,283,303,0
2025-06-04 20:50:00,205,193,,1,4400,271,289,0
2025-06-04 20:52:00,205,172,,1,4451,271,289,0
2025-06-04 20:54:00,205,180,,1,4493,269,288,0
2025-06-04 20:56:00,199,167,,1,4539,271,289,0.400
2025-06-04 20:58:00,200,167,,1,4583,266,283,0
2025-06-04 21:00:00,199,175,747,1,4629,266,283,0
2025-06-04 21:02:00,200,162,,1,4680,280,299,0
2025-06-04 21:04:00,199,168,,1,4726,271,288,0
2025-06-04 21:06:00,200,175,,1,4772,270,290,0
2025-06-04 21:08:00,200,170,,1,4820,274,292,0
2025-06-04 21:10:00,200,180,,1,4868,263,282,0
2025-06-04 21:12:00,199,176,,1,4916,269,287,0
2025-06-04 21:14:00,199,167,,1,4962,276,293,0
2025-06-04 21:16:00,200,178,,1,5012,261,280,0
2025-06-04 21:18:00,200,148,,1,5058,267,284,0
2025-06-04 21:20:00,199,168,,1,5106,281,302,0
2025-06-04 21:22:00,199,172,,1,5156,262,279,0
2025-06-04 21:24:00,199,164,,1,5200,260,278,0
2025-06-04 21:26:00,199,178,,1,5248,282,300,0
2025-06-04 21:28:00,200,165,,1,5296,265,283,0
2025-06-04 21:30:00,199,172,747,1,5344,272,293,0.0667
2025-06-04 21:32:00,199,160,,1,5392,274,292,0
2025-06-04 21:34:00,205,178,,1,5452,264,282,0
2025-06-04 21:36:00,205,154,,1,5500,274,293,0
2025-06-04 21:38:00,205,168,,1,5542,275,293,0.0667
2025-06-04 21:40:00,199,177,,1,5592,263,281,2.40
2025-06-04 21:42:00,199,166,,1,5634,269,289,0
2025-06-04 21:44:00,200,173,,1,5682,286,414,0
2025-06-04 21:46:00,200,166,,1,5730,261,280,0
2025-06-04 21:48:00,203,180,,1,5784,264,283,0
2025-06-04 21:50:00,202,167,,1,5830,274,292,0
2025-06-04 21:52:00,206,184,,1,3426,272,291,0
2025-06-04 21:54:00,207,172,,1,3472,283,303,0
2025-06-04 21:56:00,205,168,,1,3519,284,303,0
2025-06-04 21:58:00,205,169,,1,3566,263,282,0
2025-06-04 22:00:00,205,164,754,1,3615,265,283,0
2025-06-04 22:02:00,205,171,,1,3658,263,281,0
2025-06-04 22:04:00,199,167,,1,3704,264,282,0.400
2025-06-04 22:06:00,205,187,,1,3758,278,299,0
2025-06-04 22:08:00,203,171,,1,3802,290,310,0
2025-06-04 22:10:00,203,172,,1,3850,277,297,0
2025-06-04 22:12:00,203,164,,1,3902,276,295,0
2025-06-04 22:14:00,203,182,,1,3946,278,297,0
2025-06-04 22:16:00,206,184,,1,4000,348,382,0.0667
2025-06-04 22:18:00,204,156,,1,4044,277,297,0
2025-06-04 22:20:00,203,176,,1,4090,288,309,0
2025-06-04 22:22:00,203,167,,1,4138,280,301,0
2025-06-04 22:24:00,203,171,,1,4188,284,304,0
2025-06-04 22:26:00,203,186,,1,4234,282,303,0
2025-06-04 22:28:00,203,158,,1,4282,279,299,0
2025-06-04 22:30:00,203,170,751,1,4330,279,299,0
2025-06-04 22:32:00,204,161,,1,4380,293,313,0
2025-06-04 22:34:00,204,172,,1,4428,283,304,0
2025-06-04 22:36:00,204,169,,1,4476,277,298,0
2025-06-04 22:38:00,203,165,,1,4524,283,304,0
2025-06-04 22:40:00,203,159,,1,4570,275,295,0
2025-06-04 22:42:00,207,171,,1,4628,273,294,0
2025-06-04 22:44:00,203,172,,1,4666,282,302,0
2025-06-04 22:46:00,206,167,,1,4720,280,301,0
2025-06-04 22:48:00,203,172,,1,4764,277,297,0
2025-06-04 22:50:00,203,156,,1,4810,284,305,0
2025-06-04 22:52:00,203,163,,1,4860,275,295,0
2025-06-04 22:54:00,203,172,,1,4908,277,298,0
2025-06-04 22:56:00,204,187,,1,1234,298,319,0
2025-06-04 22:58:00,204,171,,1,1284,274,296,0
2025-06-04 23:00:00,203,178,751,1,1330,277,297,0
2025-06-04 23:02:00,203,169,,1,1380,282,303,0
2025-06-04 23:04:00,203,163,,1,1426,281,302,0
2025-06-04 23:06:00,203,166,,1,1474,285,306,0
2025-06-04 23:08:00,203,162,,1,1522,282,302,0
2025-06-04 23:10:00,203,176,,1,1570,279,301,0
2025-06-04 23:12:00,203,172,,1,1618,278,300,0
2025-06-04 23:14:00,203,167,,1,1666,285,306,0
2025-06-04 23:16:00,203,179,,1,1714,271,294,0
2025-06-04 23:18:00,204,169,,1,1764,272,293,0
2025-06-04 23:20:00,203,180,,1,1810,292,312,0
2025-06-04 23:22:00,203,155,,1,1860,271,293,0
2025-06-04 23:24:00,203,173,,1,1908,273,294,0
2025-06-04 23:26:00,203,164,,1,1955,287,309,0
2025-06-04 23:28:00,203,173,,1,2002,280,301,0
2025-06-04 23:30:00,203,177,751,1,2050,279,301,0
2025-06-04 23:32:00,203,163,,1,2100,288,309,0
